Source,Target,Type,Id,Label,timeset,Weight
1212,1174,Directed,20707,,,1
2291,1757,Directed,20708,,,1
1434,1344,Directed,20709,,,1
2073,1890,Directed,20710,,,1
2325,2455,Directed,20711,,,1
1542,1364,Directed,20712,,,1
1545,1436,Directed,20713,,,1
2114,1967,Directed,20714,,,1
2004,1597,Directed,20715,,,1
2001,2430,Directed,20716,,,1
2411,2380,Directed,20717,,,1
1745,1431,Directed,20718,,,1
938,1966,Directed,20719,,,1
1638,2379,Directed,20720,,,1
2179,1359,Directed,20721,,,1
1365,1001,Directed,20722,,,1
948,2004,Directed,20723,,,1
2539,1093,Directed,20724,,,1
1828,2452,Directed,20725,,,1
1295,1187,Directed,20726,,,1
1343,2522,Directed,20727,,,1
1239,1202,Directed,20728,,,1
2316,1498,Directed,20729,,,1
2019,1922,Directed,20730,,,1
1445,614,Directed,20731,,,1
1455,2293,Directed,20732,,,1
2056,2438,Directed,20733,,,1
927,1539,Directed,20734,,,1
1503,1222,Directed,20735,,,1
1929,1709,Directed,20736,,,1
2435,2165,Directed,20737,,,1
1805,894,Directed,20738,,,1
830,1991,Directed,20739,,,1
1403,2219,Directed,20740,,,1
1313,2006,Directed,20741,,,1
1435,1798,Directed,20742,,,1
1253,2406,Directed,20743,,,1
1052,2000,Directed,20744,,,1
865,853,Directed,20745,,,1
1442,1399,Directed,20746,,,1
2356,2162,Directed,20747,,,1
1687,1527,Directed,20748,,,1
835,2430,Directed,20749,,,1
2353,1997,Directed,20750,,,1
2428,1181,Directed,20751,,,1
1748,699,Directed,20752,,,1
1152,1071,Directed,20753,,,1
1258,2434,Directed,20754,,,1
775,1333,Directed,20755,,,1
2177,630,Directed,20756,,,1
1066,853,Directed,20757,,,1
932,1083,Directed,20758,,,1
2309,2004,Directed,20759,,,1
1723,654,Directed,20760,,,1
1043,749,Directed,20761,,,1
1558,1408,Directed,20762,,,1
2167,2079,Directed,20763,,,1
1881,1155,Directed,20764,,,1
1087,1356,Directed,20765,,,1
830,2445,Directed,20766,,,1
1314,1716,Directed,20767,,,1
1473,1043,Directed,20768,,,1
2328,2285,Directed,20769,,,1
1244,1070,Directed,20770,,,1
2439,2043,Directed,20771,,,1
1056,1048,Directed,20772,,,1
1428,1246,Directed,20773,,,1
710,1643,Directed,20774,,,1
2009,2263,Directed,20775,,,1
2059,1755,Directed,20776,,,1
2342,2279,Directed,20777,,,1
1498,1429,Directed,20778,,,1
1074,1799,Directed,20779,,,1
1291,2070,Directed,20780,,,1
755,1371,Directed,20781,,,1
1899,2438,Directed,20782,,,1
1763,1060,Directed,20783,,,1
1337,872,Directed,20784,,,1
1472,1321,Directed,20785,,,1
2106,2066,Directed,20786,,,1
1631,2505,Directed,20787,,,1
996,1853,Directed,20788,,,1
1010,1152,Directed,20789,,,1
1546,930,Directed,20790,,,1
2252,2061,Directed,20791,,,1
2193,749,Directed,20792,,,1
2242,2204,Directed,20793,,,1
1190,1052,Directed,20794,,,1
1204,1665,Directed,20795,,,1
726,784,Directed,20796,,,1
1597,2379,Directed,20797,,,1
1154,1548,Directed,20798,,,1
1898,1183,Directed,20799,,,1
1643,1890,Directed,20800,,,1
1750,615,Directed,20801,,,1
1207,2442,Directed,20802,,,1
1704,2044,Directed,20803,,,1
682,1407,Directed,20804,,,1
923,1911,Directed,20805,,,1
866,981,Directed,20806,,,1
1897,1983,Directed,20807,,,1
2167,822,Directed,20808,,,1
