Source,Target,Type,Id,Label,timeset,Weight
1250,1055,Directed,529,,,1
1103,946,Directed,530,,,1
63,1577,Directed,531,,,1
794,1368,Directed,532,,,1
2442,1841,Directed,533,,,1
528,2539,Directed,534,,,1
2102,2305,Directed,535,,,1
1786,701,Directed,536,,,1
999,4,Directed,537,,,1
450,1579,Directed,538,,,1
1245,1415,Directed,539,,,1
750,2277,Directed,540,,,1
459,781,Directed,541,,,1
739,2470,Directed,542,,,1
683,224,Directed,543,,,1
2083,1618,Directed,544,,,1
1580,2171,Directed,545,,,1
2168,1425,Directed,546,,,1
1598,2524,Directed,547,,,1
1108,1506,Directed,548,,,1
889,1898,Directed,549,,,1
1531,113,Directed,550,,,1
2526,1911,Directed,551,,,1
85,700,Directed,552,,,1
462,236,Directed,553,,,1
260,1610,Directed,554,,,1
1112,1911,Directed,555,,,1
2126,1253,Directed,556,,,1
1843,274,Directed,557,,,1
525,2487,Directed,558,,,1
471,703,Directed,559,,,1
943,268,Directed,560,,,1
177,1721,Directed,561,,,1
2471,688,Directed,562,,,1
2076,1852,Directed,563,,,1
1791,634,Directed,564,,,1
696,1750,Directed,565,,,1
546,2339,Directed,566,,,1
1652,1313,Directed,567,,,1
1946,443,Directed,568,,,1
2421,1919,Directed,569,,,1
1780,785,Directed,570,,,1
969,2503,Directed,571,,,1
1190,2372,Directed,572,,,1
981,1897,Directed,573,,,1
1714,2328,Directed,574,,,1
2417,571,Directed,575,,,1
698,1814,Directed,576,,,1
1979,389,Directed,577,,,1
70,1674,Directed,578,,,1
688,39,Directed,579,,,1
1675,524,Directed,580,,,1
1511,1784,Directed,581,,,1
1409,1430,Directed,582,,,1
1390,1621,Directed,583,,,1
2320,2305,Directed,584,,,1
535,863,Directed,585,,,1
1073,366,Directed,586,,,1
1583,1840,Directed,587,,,1
1590,1207,Directed,588,,,1
1768,470,Directed,589,,,1
1460,1461,Directed,590,,,1
366,2196,Directed,591,,,1
2226,1677,Directed,592,,,1
1146,584,Directed,593,,,1
685,762,Directed,594,,,1
1491,2054,Directed,595,,,1
1007,1560,Directed,596,,,1
37,57,Directed,597,,,1
1238,1511,Directed,598,,,1
177,1500,Directed,599,,,1
2071,281,Directed,600,,,1
197,688,Directed,601,,,1
731,442,Directed,602,,,1
1524,1523,Directed,603,,,1
809,1544,Directed,604,,,1
1767,777,Directed,605,,,1
1735,557,Directed,606,,,1
982,411,Directed,607,,,1
2048,1200,Directed,608,,,1
1207,2305,Directed,609,,,1
1882,505,Directed,610,,,1
1574,1701,Directed,611,,,1
835,833,Directed,612,,,1
2113,1179,Directed,613,,,1
1447,2027,Directed,614,,,1
1998,1494,Directed,615,,,1
1810,603,Directed,616,,,1
877,1025,Directed,617,,,1
2310,2443,Directed,618,,,1
1113,1249,Directed,619,,,1
1744,649,Directed,620,,,1
2517,1116,Directed,621,,,1
1115,1936,Directed,622,,,1
687,171,Directed,623,,,1
2255,1948,Directed,624,,,1
1477,2443,Directed,625,,,1
241,1338,Directed,626,,,1
1026,922,Directed,627,,,1
1829,2039,Directed,628,,,1
675,2010,Directed,629,,,1
2038,208,Directed,630,,,1
143,2076,Directed,631,,,1
201,602,Directed,632,,,1
995,1311,Directed,633,,,1
1716,1368,Directed,634,,,1
1453,138,Directed,635,,,1
2419,504,Directed,636,,,1
416,2371,Directed,637,,,1
220,358,Directed,638,,,1
1992,888,Directed,639,,,1
542,2043,Directed,640,,,1
760,1131,Directed,641,,,1
1937,195,Directed,642,,,1
678,1342,Directed,643,,,1
1723,50,Directed,644,,,1
2153,642,Directed,645,,,1
326,2441,Directed,646,,,1
878,2356,Directed,647,,,1
220,291,Directed,648,,,1
1072,493,Directed,649,,,1
1488,1774,Directed,650,,,1
711,395,Directed,651,,,1
1820,2356,Directed,652,,,1
316,1412,Directed,653,,,1
550,1288,Directed,654,,,1
644,2538,Directed,655,,,1
1290,1321,Directed,656,,,1
1443,1575,Directed,657,,,1
1135,1784,Directed,658,,,1
1805,2140,Directed,659,,,1
915,812,Directed,660,,,1
2418,1761,Directed,661,,,1
2213,1456,Directed,662,,,1
421,1304,Directed,663,,,1
788,802,Directed,664,,,1
2204,176,Directed,665,,,1
2319,1275,Directed,666,,,1
814,860,Directed,667,,,1
881,698,Directed,668,,,1
1168,2196,Directed,669,,,1
1305,474,Directed,670,,,1
1815,708,Directed,671,,,1
863,535,Directed,672,,,1
235,2231,Directed,673,,,1
752,731,Directed,674,,,1
972,1967,Directed,675,,,1
201,1890,Directed,676,,,1
906,1483,Directed,677,,,1
626,23,Directed,678,,,1
2159,23,Directed,679,,,1
2078,1310,Directed,680,,,1
2254,775,Directed,681,,,1
830,1814,Directed,682,,,1
2100,1235,Directed,683,,,1
1739,185,Directed,684,,,1
2060,2251,Directed,685,,,1
2043,1666,Directed,686,,,1
735,439,Directed,687,,,1
2261,1736,Directed,688,,,1
2195,2039,Directed,689,,,1
393,1375,Directed,690,,,1
2448,764,Directed,691,,,1
1788,795,Directed,692,,,1
2278,716,Directed,693,,,1
1064,1375,Directed,694,,,1
323,2352,Directed,695,,,1
651,1505,Directed,696,,,1
1810,646,Directed,697,,,1
120,383,Directed,698,,,1
2115,132,Directed,699,,,1
63,1522,Directed,700,,,1
1974,194,Directed,701,,,1
2356,1390,Directed,702,,,1
1326,1077,Directed,703,,,1
1394,2126,Directed,704,,,1
2430,796,Directed,705,,,1
2445,1620,Directed,706,,,1
999,2227,Directed,707,,,1
2490,1972,Directed,708,,,1
2205,325,Directed,709,,,1
1785,372,Directed,710,,,1
1813,699,Directed,711,,,1
1967,2427,Directed,712,,,1
2058,624,Directed,713,,,1
1327,1357,Directed,714,,,1
1874,2496,Directed,715,,,1
948,1243,Directed,716,,,1
1614,2264,Directed,717,,,1
1888,1265,Directed,718,,,1
2489,634,Directed,719,,,1
1898,2101,Directed,720,,,1
1752,1535,Directed,721,,,1
261,2254,Directed,722,,,1
1161,1153,Directed,723,,,1
2250,842,Directed,724,,,1
1783,1839,Directed,725,,,1
1935,894,Directed,726,,,1
2016,652,Directed,727,,,1
1440,1139,Directed,728,,,1
872,1883,Directed,729,,,1
1216,1212,Directed,730,,,1
390,415,Directed,731,,,1
955,408,Directed,732,,,1
725,756,Directed,733,,,1
2005,1202,Directed,734,,,1
2262,2223,Directed,735,,,1
436,1837,Directed,736,,,1
2265,105,Directed,737,,,1
1222,2212,Directed,738,,,1
302,1567,Directed,739,,,1
902,513,Directed,740,,,1
2458,1472,Directed,741,,,1
2078,1669,Directed,742,,,1
2540,1251,Directed,743,,,1
181,1474,Directed,744,,,1
461,1901,Directed,745,,,1
451,2416,Directed,746,,,1
2014,979,Directed,747,,,1
2403,2003,Directed,748,,,1
952,724,Directed,749,,,1
166,1229,Directed,750,,,1
1065,1029,Directed,751,,,1
1387,1364,Directed,752,,,1
1270,2527,Directed,753,,,1
1328,3,Directed,754,,,1
1078,1056,Directed,755,,,1
488,227,Directed,756,,,1
1180,1467,Directed,757,,,1
718,2014,Directed,758,,,1
1905,199,Directed,759,,,1
557,1763,Directed,760,,,1
2008,1383,Directed,761,,,1
1198,206,Directed,762,,,1
1473,917,Directed,763,,,1
56,946,Directed,764,,,1
2340,227,Directed,765,,,1
185,1345,Directed,766,,,1
1705,1373,Directed,767,,,1
1823,1133,Directed,768,,,1
1234,101,Directed,769,,,1
2159,666,Directed,770,,,1
715,1291,Directed,771,,,1
1526,545,Directed,772,,,1
406,1212,Directed,773,,,1
758,1441,Directed,774,,,1
1507,1906,Directed,775,,,1
785,1279,Directed,776,,,1
867,2264,Directed,777,,,1
2019,542,Directed,778,,,1
380,469,Directed,779,,,1
479,472,Directed,780,,,1
1146,500,Directed,781,,,1
1400,1216,Directed,782,,,1
1277,342,Directed,783,,,1
1305,402,Directed,784,,,1
1636,1126,Directed,785,,,1
280,2451,Directed,786,,,1
1090,981,Directed,787,,,1
654,2539,Directed,788,,,1
1893,200,Directed,789,,,1
2465,969,Directed,790,,,1
2178,206,Directed,791,,,1
2282,1275,Directed,792,,,1
1594,1707,Directed,793,,,1
1071,1940,Directed,794,,,1
105,1418,Directed,795,,,1
1821,1394,Directed,796,,,1
599,1179,Directed,797,,,1
1055,705,Directed,798,,,1
105,2488,Directed,799,,,1
1067,326,Directed,800,,,1
1847,2419,Directed,801,,,1
1012,1165,Directed,802,,,1
17,766,Directed,803,,,1
882,1342,Directed,804,,,1
2316,614,Directed,805,,,1
505,2195,Directed,806,,,1
702,2239,Directed,807,,,1
1663,2353,Directed,808,,,1
816,1157,Directed,809,,,1
1380,1187,Directed,810,,,1
586,1243,Directed,811,,,1
214,2005,Directed,812,,,1
856,1233,Directed,813,,,1
1809,944,Directed,814,,,1
915,2245,Directed,815,,,1
1430,2427,Directed,816,,,1
1199,1733,Directed,817,,,1
1192,1031,Directed,818,,,1
580,422,Directed,819,,,1
458,2025,Directed,820,,,1
1058,1661,Directed,821,,,1
1493,1620,Directed,822,,,1
483,1535,Directed,823,,,1
1620,416,Directed,824,,,1
2162,2265,Directed,825,,,1
1441,1029,Directed,826,,,1
1464,1577,Directed,827,,,1
1523,2025,Directed,828,,,1
1063,2084,Directed,829,,,1
1626,1351,Directed,830,,,1
2415,657,Directed,831,,,1
829,1113,Directed,832,,,1
934,1670,Directed,833,,,1
988,1193,Directed,834,,,1
2367,1782,Directed,835,,,1
1447,913,Directed,836,,,1
2142,1111,Directed,837,,,1
818,707,Directed,838,,,1
2233,1477,Directed,839,,,1
1721,2526,Directed,840,,,1
504,2056,Directed,841,,,1
2247,2180,Directed,842,,,1
375,1219,Directed,843,,,1
398,402,Directed,844,,,1
1744,809,Directed,845,,,1
674,929,Directed,846,,,1
1272,1983,Directed,847,,,1
561,1859,Directed,848,,,1
233,1622,Directed,849,,,1
2380,773,Directed,850,,,1
1252,1989,Directed,851,,,1
1667,1917,Directed,852,,,1
2364,1592,Directed,853,,,1
888,1605,Directed,854,,,1
2275,1228,Directed,855,,,1
2124,568,Directed,856,,,1
1390,1820,Directed,857,,,1
968,17,Directed,858,,,1
1997,474,Directed,859,,,1
2267,111,Directed,860,,,1
854,731,Directed,861,,,1
2202,286,Directed,862,,,1
508,1512,Directed,863,,,1
1001,2459,Directed,864,,,1
2270,1750,Directed,865,,,1
1594,919,Directed,866,,,1
885,1020,Directed,867,,,1
1134,224,Directed,868,,,1
2382,1108,Directed,869,,,1
2320,2549,Directed,870,,,1
1412,84,Directed,871,,,1
1203,2216,Directed,872,,,1
1686,729,Directed,873,,,1
1029,1065,Directed,874,,,1
212,733,Directed,875,,,1
2371,419,Directed,876,,,1
75,2287,Directed,877,,,1
1788,1376,Directed,878,,,1
1157,1361,Directed,879,,,1
1974,732,Directed,880,,,1
1434,2389,Directed,881,,,1
945,1727,Directed,882,,,1
2139,837,Directed,883,,,1
1334,2259,Directed,884,,,1
680,1141,Directed,885,,,1
972,334,Directed,886,,,1
1593,240,Directed,887,,,1
1668,2036,Directed,888,,,1
882,2055,Directed,889,,,1
1967,2082,Directed,890,,,1
592,2179,Directed,891,,,1
27,1914,Directed,892,,,1
2515,1135,Directed,893,,,1
144,898,Directed,894,,,1
1755,477,Directed,895,,,1
2019,2530,Directed,896,,,1
754,366,Directed,897,,,1
228,252,Directed,898,,,1
722,926,Directed,899,,,1
67,604,Directed,900,,,1
101,994,Directed,901,,,1
1059,1300,Directed,902,,,1
1718,490,Directed,903,,,1
2123,2399,Directed,904,,,1
898,1832,Directed,905,,,1
1470,1955,Directed,906,,,1
1003,999,Directed,907,,,1
376,2434,Directed,908,,,1
912,2531,Directed,909,,,1
1804,1916,Directed,910,,,1
973,969,Directed,911,,,1
548,1523,Directed,912,,,1
