Talk1,Talk2
845,1941
731,568
1123,2441
1197,2125
2180,768
569,1863
976,2185
1843,1917
783,963
2108,2459
2389,2193
661,1310
383,2337
1631,2119
1388,266
1708,1275
1009,351
747,369
1909,2117
2531,610
487,2182
1285,756
1366,1147
883,1077
2395,1350
996,1814
1215,1625
2078,2502
338,124
1274,1831
1280,1816
210,1534
2480,2039
379,1475
1704,73
1831,636
1395,281
2415,656
474,23
423,1045
289,2161
608,171
2201,2445
23,132
1871,794
198,1332
1512,1675
2329,741
1466,2168
236,48
2420,716
1488,1731
1397,566
566,2284
93,876
770,725
1592,1182
194,960
241,1806
2331,185
1533,1352
914,1179
1162,73
1678,313
2136,2088
866,2239
706,1383
2091,1159
76,1553
1444,1962
2205,1639
100,1600
197,221
616,961
2527,2205
347,242
1072,1721
908,1006
402,1337
660,1631
2182,2006
798,842
647,2410
1008,1819
1027,2477
634,2248
138,137
473,46
2130,2538
2315,2117
1813,2362
615,2059
2015,1488
1547,1549
582,78
199,194
22,597
490,1718
576,153
940,2401
414,307
2068,2053
1033,1924
1536,137
1870,2043
2069,566
385,1061
1072,1500
2512,2526
2422,2213
1422,2211
915,888
2406,272
1992,2309
1170,1784
1652,468
583,1359
2063,190
1219,502
2505,1623
2330,1462
722,2073
7,224
1829,2216
723,560
1854,483
1044,1093
2511,2337
713,705
683,158
2201,931
1212,1361
877,2129
1733,411
2072,2179
2036,1711
2188,757
1200,1823
411,2419
1836,292
1666,682
82,587
2431,233
2114,2487
1604,1569
795,656
1899,1993
2436,1516
432,1007
1535,1897
1745,1930
33,2039
1800,790
545,1045
1351,377
2474,1308
1142,491
2459,756
102,1719
508,430
267,2112
1722,1737
46,458
864,1517
1741,2341
1640,1170
2309,1818
1261,2175
1427,1201
635,2265
2522,1220
2471,2268
1634,459
1472,1405
668,206
2262,216
630,1346
479,429
102,660
983,2150
85,2354
1500,2534
969,656
2455,57
281,449
1474,39
1412,70
343,2029
929,525
544,1992
2137,1201
1254,291
1409,179
86,703
1601,1811
1686,378
1596,74
1301,601
1295,145
399,2093
879,756
387,2000
353,1139
1673,1320
701,259
1275,1924
2031,1449
1322,1246
194,989
1344,970
1137,1877
669,884
1833,140
697,60
1248,1811
1214,2439
2480,1345
783,773
1649,1821
1522,1293
390,2278
19,1678
2179,283
1508,1897
2338,2512
2268,1474
869,609
218,1929
1696,341
401,778
2388,735
1448,2032
745,1335
1857,181
1057,1197
1157,1151
1682,116
1015,899
328,586
1466,373
2154,356
676,892
1752,1951
1538,85
1009,1036
208,1516
2424,1720
2219,2363
647,2057
1353,1283
2004,1748
1956,149
2277,2084
2008,79
1916,689
2057,1749
169,963
1894,134
775,1344
322,2364
1087,2365
2384,325
1889,1631
1566,644
333,423
1221,1667
