Talk1,Talk2
1780,2322
1609,2110
1836,1346
1378,2271
1287,991
2207,2205
889,2142
1647,1710
2183,1972
2261,1703
2290,2060
1717,1650
1520,1132
1353,2471
977,2521
1327,1302
1712,941
923,1195
2341,2218
881,1081
1135,805
1073,785
1332,1833
837,1177
890,1557
746,2224
1076,1021
2494,2205
1553,1632
1418,2270
1369,928
965,2519
1337,2304
1845,1184
1689,1611
1796,1665
734,1339
2029,1813
1352,2129
1301,809
1803,972
1938,1947
1323,2370
2043,2330
2437,2132
962,2507
2549,1650
1578,2483
1558,1376
1024,2412
1206,1396
1932,2118
1942,2275
1549,1972
1851,1050
810,2255
2299,2363
1800,1167
1489,1865
2514,2045
2113,2370
2412,2365
1362,2365
1330,1314
771,1866
747,2224
2487,2470
2510,2141
1081,879
2323,1666
2535,2542
2056,2471
2383,2292
2333,1490
2459,1230
2438,2259
1374,2342
2072,2063
2230,2471
2195,2453
1237,939
1662,2209
1656,1242
1952,2039
1996,1938
1616,1270
1909,2504
2366,2069
885,1267
1702,1187
2312,2067
2281,1511
1344,1882
1950,1372
1150,1598
1142,2216
953,1964
1148,727
1668,1222
1552,1823
1035,2359
1347,1512
2105,873
1670,1606
2446,2452
2054,730
1564,2242
1538,1826
2245,1477
2186,2144
2467,2443
1868,1681
1591,1946
1695,622
2380,2152
1859,624
2114,1250
1130,1421
2118,1975
1374,831
1761,1902
2457,2212
1501,2445
2006,1188
2323,1304
660,892
1289,1202
1883,2388
1273,1782
2140,2495
1584,1213
1692,2527
2335,2193
2354,1490
997,1825
955,1650
1078,1413
1894,1166
1218,753
961,2213
2205,2061
1676,925
648,1512
2193,1592
1989,1056
1956,1363
918,2036
1267,1666
799,1748
1265,1123
2456,2348
2527,1619
2518,2309
2483,1230
872,1401
1000,2178
2468,2367
2258,1959
1209,1515
1490,1465
2349,2320
832,1337
2162,1809
1684,1902
2117,1907
2293,2286
891,939
1547,1765
2339,2261
1062,2197
1239,1767
2467,2322
1229,1118
1957,740
1861,2134
1001,1036
1726,1344
2003,1841
840,1532
2507,707
883,977
1537,1621
1701,1359
1346,2332
1826,2425
1955,2500
766,760
1597,2513
2074,2312
1185,852
877,2378
704,1639
1604,1929
1656,1306
1514,2430
2093,988
1004,1081
1247,2365
1181,1937
2205,2183
1095,778
